lambda    f             f_err
  0      -0.000036     0.012533
  1      -10.230729     0.013779
  2      -19.967344     0.025629
  3      -29.237399     0.035928
  4      -38.048713     0.041323
  5      -46.434363     0.053551
  6      -54.406183     0.055683
  7      -61.983742     0.064632
  8      -69.187699     0.069865
  9      -76.041011     0.080386
  10      -82.548715     0.071030
  11      -88.710080     0.076091
  12      -94.561271     0.076869
  13      -100.101020     0.080650
  14      -105.321085     0.080289
  15      -110.238897     0.078254
  16      -114.849933     0.087230
  17      -119.146129     0.085358
  18      -123.145099     0.085458
  19      -126.827735     0.087286
  20      -130.167645     0.078709
  21      -132.392868     0.075987
  22      -134.790239     0.080062
  23      -137.298781     0.085524
  24      -139.845926     0.082456
  25      -141.074192     0.075887
  26      -142.219133     0.083114
  27      -143.238308     0.083557
  28      -144.048458     0.081587
  29      -144.377486     0.083506
  30      -144.535010     0.082863
  31      -144.471591     0.086051
  32      -144.100224     0.091960
  33      -143.254809     0.089300
  34      -141.776286     0.097091
  35      -139.693846     0.102003
  36      -137.420415     0.101610
  37      -134.816131     0.111297
  38      -133.053925     0.106508
  39      -132.302346     0.102520
