lambda    f             f_err
  0      -0.000036     0.010154
  1      -10.230729     0.009748
  2      -19.967344     0.019697
  3      -29.237399     0.028608
  4      -38.048713     0.030595
  5      -46.434363     0.038265
  6      -54.406183     0.037539
  7      -61.983742     0.042670
  8      -69.187699     0.043488
  9      -76.041011     0.041465
  10      -82.548715     0.045513
  11      -88.710080     0.048642
  12      -94.561271     0.051376
  13      -100.101020     0.049986
  14      -105.321085     0.047688
  15      -110.238897     0.048822
  16      -114.849933     0.056123
  17      -119.146129     0.053045
  18      -123.145099     0.049740
  19      -126.827735     0.055203
  20      -130.167645     0.050698
  21      -132.392868     0.051261
  22      -134.790239     0.052361
  23      -137.298781     0.053925
  24      -139.845926     0.054226
  25      -141.074192     0.057460
  26      -142.219133     0.056032
  27      -143.238308     0.054648
  28      -144.048458     0.053345
  29      -144.377486     0.064632
  30      -144.535010     0.057933
  31      -144.471591     0.062428
  32      -144.100224     0.061704
  33      -143.254809     0.061642
  34      -141.776286     0.072031
  35      -139.693846     0.071561
  36      -137.420415     0.078178
  37      -134.816131     0.081846
  38      -133.053925     0.081907
  39      -132.302346     0.086434
