lambda    f             f_err
  0      -0.000036     0.008960
  1      -10.230729     0.008668
  2      -19.967344     0.015455
  3      -29.237399     0.019870
  4      -38.048713     0.024710
  5      -46.434363     0.028920
  6      -54.406183     0.031220
  7      -61.983742     0.031798
  8      -69.187699     0.035769
  9      -76.041011     0.035429
  10      -82.548715     0.035106
  11      -88.710080     0.037236
  12      -94.561271     0.040937
  13      -100.101020     0.039341
  14      -105.321085     0.036755
  15      -110.238897     0.037190
  16      -114.849933     0.040707
  17      -119.146129     0.037463
  18      -123.145099     0.039830
  19      -126.827735     0.037663
  20      -130.167645     0.041835
  21      -132.392868     0.041027
  22      -134.790239     0.043186
  23      -137.298781     0.047514
  24      -139.845926     0.040502
  25      -141.074192     0.047182
  26      -142.219133     0.046060
  27      -143.238308     0.046542
  28      -144.048458     0.049320
  29      -144.377486     0.047191
  30      -144.535010     0.051816
  31      -144.471591     0.046618
  32      -144.100224     0.053468
  33      -143.254809     0.052923
  34      -141.776286     0.060231
  35      -139.693846     0.064608
  36      -137.420415     0.068683
  37      -134.816131     0.071716
  38      -133.053925     0.068547
  39      -132.302346     0.070111
